,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Afghanistan","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Afghanistan","Data source","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Afghanistan","Data source","Spirits","0.01","0.01","0.01","0.01","0.00","0.01","0.00","0.00","0.00","0.00"
"Afghanistan","Data source","All types","0.01","0.01","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.02"
"Afghanistan","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01"
"Albania","Data source","Spirits","1.43","1.50","1.56","1.61","1.68","1.74","1.79","1.88","1.99","1.97"
"Albania","Data source","Beer","1.75","1.75","1.64","1.52","1.48","1.29","1.34","1.34","1.88","1.71"
"Albania","Data source","Wine","1.15","1.12","1.11","1.17","1.10","0.99","1.07","1.12","1.08","1.08"
"Albania","Data source","All types","4.40","4.44","4.39","4.38","4.33","4.10","4.28","4.43","5.03","4.88"
"Albania","Data source","Other alcoholic beverages","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.11"
"Algeria","Data source","Beer","0.31","0.31","0.30","0.32","0.31","0.28","0.26","0.23","0.21","0.18"
"Algeria","Data source","Wine","","","","","","0.16","0.14","0.13","0.13","0.13"
